City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
67,Hobart,-42.8794,147.3294,47.26,80,75,4.0,AU,2021-09-19 21:28:25
68,Sobolevo,54.4299,31.8996,42.66,94,100,14.25,RU,2021-09-19 21:23:42
69,Hamilton,39.1834,-84.5333,87.19,53,1,1.01,US,2021-09-19 21:28:25
70,Tessalit,20.1986,1.0114,94.05,10,0,8.46,ML,2021-09-19 21:28:26
71,Puerto Ayora,-0.7393,-90.3518,76.96,89,79,7.0,EC,2021-09-19 21:28:26
72,Neiafu,-18.65,-173.9833,79.48,78,75,5.75,TO,2021-09-19 21:28:26
73,Barrow,71.2906,-156.7887,33.82,69,75,21.85,US,2021-09-19 21:28:27
74,Santa Rosa,14.3122,121.1114,78.78,90,100,3.09,PH,2021-09-19 21:28:27
75,Bilibino,68.0546,166.4372,19.62,81,28,4.72,RU,2021-09-19 21:28:27
76,Ekhabi,53.5102,142.9671,47.86,68,49,15.05,RU,2021-09-19 21:28:27
77,Khani,41.9563,42.9566,56.77,77,60,4.7,GE,2021-09-19 21:28:28
78,Mizdah,31.4451,12.9801,82.27,19,0,5.86,LY,2021-09-19 21:28:28
79,Khatanga,71.9667,102.5,31.73,98,100,14.0,RU,2021-09-19 21:28:28
80,Kandrian,-6.2167,149.55,76.75,92,99,5.7,PG,2021-09-19 21:26:40
81,Mezen,65.8522,44.24,40.98,69,100,5.41,RU,2021-09-19 21:28:29
82,Sioux Lookout,50.1001,-91.917,79.18,61,75,11.5,CA,2021-09-19 21:25:06
83,Houma,29.5958,-90.7195,87.8,80,20,8.05,US,2021-09-19 21:28:29
84,Cape Town,-33.9258,18.4232,58.12,90,40,1.01,ZA,2021-09-19 21:28:29
85,Ponta Do Sol,32.6667,-17.1,74.03,68,94,5.84,PT,2021-09-19 21:28:29
86,Torbay,47.6666,-52.7314,58.87,96,90,11.5,CA,2021-09-19 21:28:30
87,Atchison,39.563,-95.1216,89.22,55,0,15.75,US,2021-09-19 21:28:30
88,Nacala,-14.5428,40.6728,69.67,59,5,10.85,MZ,2021-09-19 21:28:30
89,Pinotepa Nacional,16.3167,-98.0167,87.01,62,93,7.14,MX,2021-09-19 21:28:31
90,Clyde River,70.4692,-68.5914,31.77,55,71,1.01,CA,2021-09-19 21:28:31
91,Georgetown,5.4112,100.3354,80.53,95,40,2.3,MY,2021-09-19 21:27:32
92,Samarai,-10.6167,150.6667,78.49,88,100,14.88,PG,2021-09-19 21:28:31
93,Raudeberg,61.9875,5.1352,56.19,89,100,3.0,NO,2021-09-19 21:28:31
94,Tiznit,29.5833,-9.5,64.54,84,88,4.12,MA,2021-09-19 21:24:56
95,Tortoli,39.9256,9.6572,75.02,33,0,10.36,IT,2021-09-19 21:28:32
96,Tual,-5.6667,132.75,79.7,81,93,19.64,ID,2021-09-19 21:24:50
97,Saskylakh,71.9167,114.0833,28.02,94,100,6.02,RU,2021-09-19 21:23:47
98,Avarua,-21.2078,-159.775,78.85,78,75,14.97,CK,2021-09-19 21:28:32
99,Lompoc,34.6391,-120.4579,91.78,68,1,18.41,US,2021-09-19 21:28:32
100,Farah,32.5,62.5,73.33,20,0,3.33,AF,2021-09-19 21:28:33
101,Hilo,19.7297,-155.09,84.27,67,90,4.61,US,2021-09-19 21:28:33
102,Necochea,-38.5473,-58.7368,60.4,83,67,6.89,AR,2021-09-19 21:25:33
103,Saint Anthony,45.0205,-93.218,90.3,43,1,4.0,US,2021-09-19 21:28:33
104,Kimberley,-28.7323,24.7623,60.49,36,40,5.75,ZA,2021-09-19 21:28:34
105,Strezhevoy,60.7333,77.5889,37.38,93,100,6.42,RU,2021-09-19 21:28:34
