,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
78,San Pedro,PH,14.35,121.0167,78.55,86,98,5.21,overcast clouds
79,Bokoro,TD,12.3807,17.0568,79.48,69,87,6.04,overcast clouds
80,Mount Isa,AU,-20.7333,139.5,65.97,20,90,26.46,overcast clouds
81,Port Hardy,CA,50.6996,-127.4199,53.55,92,100,15.68,overcast clouds
82,Cuite,BR,-6.4836,-36.1536,68.22,76,33,17.31,scattered clouds
83,Chuy,UY,-33.6971,-53.4616,58.64,94,86,14.9,overcast clouds
84,Barrow,US,71.2906,-156.7887,32.83,78,100,14.18,light snow
85,Vaini,TO,-21.2,-175.2,71.71,75,64,20.2,broken clouds
86,Geraldton,AU,-28.7667,114.6,57.61,58,0,3.44,clear sky
87,Wadi Maliz,TN,36.4681,8.5495,69.62,74,70,2.06,broken clouds
88,Turukhansk,RU,65.8167,87.9833,34.29,94,100,8.16,overcast clouds
89,Zarand,IR,30.8127,56.564,73.18,16,1,3.31,clear sky
90,Cape Town,ZA,-33.9258,18.4232,48.61,81,20,5.75,few clouds
91,Russell,US,32.3502,-85.1999,83.43,78,1,0.0,clear sky
92,Kiboga,UG,0.9161,31.7742,62.85,97,83,2.01,broken clouds
93,Linhares,BR,-19.3911,-40.0722,70.48,83,62,3.96,broken clouds
94,Faanui,PF,-16.4833,-151.75,78.4,73,25,12.01,scattered clouds
95,Upernavik,GL,72.7868,-56.1549,26.94,78,97,5.23,overcast clouds
96,Norman Wells,CA,65.282,-126.8329,57.24,47,75,13.8,broken clouds
97,East London,ZA,-33.0153,27.9116,57.52,51,45,24.09,scattered clouds
98,Port Alfred,ZA,-33.5906,26.891,56.61,66,20,28.05,light rain
99,Longyearbyen,SJ,78.2186,15.6401,40.84,93,90,2.3,light rain
100,Namatanai,PG,-3.6667,152.4333,82.83,70,90,3.98,overcast clouds
101,Ulladulla,AU,-35.35,150.4667,52.81,48,50,14.36,scattered clouds
102,Lagos,NG,6.5833,3.75,76.87,90,47,5.3,scattered clouds
103,Lazaro Cardenas,MX,17.9583,-102.2,83.43,77,42,6.38,scattered clouds
104,Zyryanka,RU,65.75,150.85,29.43,83,98,16.4,overcast clouds
105,Grand Gaube,MU,-20.0064,57.6608,69.84,72,8,20.98,clear sky
106,Hermanus,ZA,-34.4187,19.2345,52.02,66,9,5.86,clear sky
107,Mahebourg,MU,-20.4081,57.7,68.76,71,54,16.33,broken clouds
108,Paamiut,GL,61.994,-49.6678,35.28,77,6,26.51,clear sky
109,Lompoc,US,34.6391,-120.4579,91.54,50,1,12.66,clear sky
110,Ponta Do Sol,PT,32.6667,-17.1,72.23,81,40,5.03,scattered clouds
111,Chumikan,RU,54.7183,135.315,46.24,57,1,7.85,clear sky
112,Okha,RU,53.5739,142.9478,52.81,55,11,16.82,few clouds
113,Kapaa,US,22.0752,-159.319,82.72,69,75,16.11,light rain
114,Luderitz,NA,-26.6481,15.1594,59.74,60,0,17.07,clear sky
115,Klaksvik,FO,62.2266,-6.589,52.72,79,70,36.33,broken clouds
116,Owando,CG,-0.4819,15.8999,73.89,80,77,2.82,broken clouds
117,Eina,NO,60.6295,10.5993,42.31,81,100,6.76,overcast clouds
118,Puerto Ayora,EC,-0.7393,-90.3518,68.61,82,89,10.6,overcast clouds
119,San Patricio,US,28.017,-97.5169,95.72,52,0,13.8,clear sky
120,Kavaratti,IN,10.5669,72.642,81.36,79,99,11.72,overcast clouds
121,Mzimba,MW,-11.9,33.6,64.09,54,7,8.84,clear sky
122,Sao Filipe,CV,14.8961,-24.4956,80.19,83,44,3.22,scattered clouds
123,Harper,LR,4.375,-7.7169,77.07,86,37,6.55,light rain
124,Tiksi,RU,71.6872,128.8694,33.84,72,100,5.08,overcast clouds
125,Bismarck,US,46.8083,-100.7837,67.06,34,20,23.02,few clouds
126,Seoul,KR,37.5683,126.9778,69.4,94,75,9.22,broken clouds
127,Nouadhibou,MR,20.931,-17.0347,73.17,76,5,21.34,clear sky
128,Talaya,RU,61.3833,152.75,30.6,91,99,6.38,overcast clouds
129,Marzuq,YE,14.4,46.4667,77.88,60,100,4.5,overcast clouds
130,Henties Bay,NA,-22.116,14.2845,54.55,89,0,6.55,clear sky
131,Atar,MR,20.5169,-13.0499,93.97,27,0,8.3,clear sky
132,Port Lincoln,AU,-34.7333,135.8667,53.38,62,93,14.81,overcast clouds
133,Tshikapa,CD,-6.4167,20.8,78.17,47,85,0.63,overcast clouds
134,Iqaluit,CA,63.7506,-68.5145,31.73,74,90,11.5,overcast clouds
135,Markova,UA,48.6758,24.4138,42.19,87,98,7.07,overcast clouds
136,Caravelas,BR,-17.7125,-39.2481,72.84,81,11,5.28,few clouds
137,Vardo,NO,70.3705,31.1107,43.38,74,43,26.35,scattered clouds
138,Ilulissat,GL,69.2167,-51.1,28.42,69,20,20.71,few clouds
139,Muzhi,RU,65.3667,64.6667,38.01,82,100,19.08,overcast clouds
140,Faya,SA,18.3851,42.4509,66.72,30,0,4.07,clear sky
141,Naze,JP,28.3667,129.4833,75.45,75,0,0.87,clear sky
142,Bucerias,MX,20.75,-105.3333,87.78,66,75,8.05,broken clouds
143,Bay-Khaak,RU,51.1667,94.5,38.01,66,93,4.38,overcast clouds
144,Kerrville,US,30.0474,-99.1403,97.02,26,1,12.66,clear sky
145,Cabo San Lucas,MX,22.8909,-109.9124,83.55,71,96,10.76,overcast clouds
146,Castro,BR,-24.7911,-50.0119,74.82,48,58,2.01,broken clouds
147,Lata,PT,40.1629,-8.3327,61.56,58,0,7.0,clear sky
148,Bilma,NE,18.6853,12.9164,86.76,14,0,4.99,clear sky
149,Pierre,US,44.3683,-100.351,68.92,34,1,14.97,clear sky
150,Xuddur,SO,4.1213,43.8894,70.39,73,32,12.93,scattered clouds
151,Axim,GH,4.8699,-2.2405,76.53,91,69,7.4,broken clouds
152,Airai,TL,-8.9266,125.4092,66.06,43,91,4.76,overcast clouds
153,Buenos Aires,AR,-34.6132,-58.3772,58.95,71,79,15.84,broken clouds
154,Karlshamn,SE,56.1706,14.8619,44.71,57,100,4.12,overcast clouds
155,Kaitangata,NZ,-46.2817,169.8464,52.5,69,100,6.11,moderate rain
156,Dikson,RU,73.5069,80.5464,35.44,75,100,8.43,overcast clouds
157,Saint-Philippe,RE,-21.3585,55.7679,67.55,80,98,13.38,light rain
158,Peniche,PT,39.3558,-9.3811,69.28,78,0,19.69,clear sky
159,Beringovskiy,RU,63.05,179.3167,42.64,93,100,5.66,light rain
160,Grenaa,DK,56.4158,10.8783,48.42,61,76,3.89,broken clouds
161,Narsaq,GL,60.9167,-46.05,35.4,63,1,4.38,clear sky
162,Puerto Quijarro,BO,-17.7833,-57.7667,88.81,16,0,1.01,clear sky
163,Lagoa,PT,39.05,-27.9833,69.96,68,5,10.67,clear sky
164,Fort Nelson,CA,58.8053,-122.7002,60.15,43,75,8.79,broken clouds
165,Sao Felix Do Xingu,BR,-6.6447,-51.995,86.92,30,75,1.45,broken clouds
166,San Cristobal,VE,7.7669,-72.225,77.18,93,91,3.29,overcast clouds
167,Margate,GB,51.3813,1.3862,53.46,83,5,8.77,clear sky
168,Los Llanos De Aridane,ES,28.6585,-17.9182,71.35,69,75,14.97,broken clouds
169,Porto Novo,BJ,6.4965,2.6036,76.82,87,55,6.78,broken clouds
170,Alofi,NU,-19.0595,-169.9187,82.29,74,75,6.91,light rain
171,Shchors,UA,51.8186,31.945,43.05,91,98,10.49,overcast clouds
172,Nara,JP,34.6851,135.8049,74.48,70,0,7.52,clear sky
173,Komsomolskiy,UZ,40.4272,71.7189,62.83,27,0,1.92,clear sky
174,Itarema,BR,-2.9248,-39.9167,78.6,82,15,15.46,few clouds
175,Touros,BR,-5.1989,-35.4608,77.9,72,69,17.13,broken clouds
