City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
147,Lata,PT,61.56,clear sky,40.1629,-8.3327,Casa Maquia
149,Pierre,US,68.92,clear sky,44.3683,-100.351,Ramkota Hotel
150,Xuddur,SO,70.39,scattered clouds,4.1213,43.8894,Banjanay Hotel
151,Axim,GH,76.53,broken clouds,4.8699,-2.2405,Axim Beach Resort And Spa
152,Airai,TL,66.06,overcast clouds,-8.9266,125.4092,Juvinal Martin
153,Buenos Aires,AR,58.95,broken clouds,-34.6132,-58.3772,Hotel NH Buenos Aires City
157,Saint-Philippe,RE,67.55,light rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
158,Peniche,PT,69.28,clear sky,39.3558,-9.3811,Hotel Star inn Peniche
163,Lagoa,PT,69.96,clear sky,39.05,-27.9833,Casa Das Faias
164,Fort Nelson,CA,60.15,broken clouds,58.8053,-122.7002,The Fort Nelson Hotel
166,San Cristobal,VE,77.18,overcast clouds,7.7669,-72.225,Posada Villaven C.A.
168,Los Llanos De Aridane,ES,71.35,broken clouds,28.6585,-17.9182,Valle Aridane
169,Porto Novo,BJ,76.82,broken clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
172,Nara,JP,74.48,clear sky,34.6851,135.8049,Guesthouse Nara Komachi
173,Komsomolskiy,UZ,62.83,clear sky,40.4272,71.7189,Ikathouse
174,Itarema,BR,78.6,few clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
175,Touros,BR,77.9,broken clouds,-5.1989,-35.4608,INN NEW HORIZON
179,Huarmey,PE,63.48,clear sky,-10.0681,-78.1522,Hotel Miramar
180,Lima,PE,61.5,scattered clouds,-12.0432,-77.0282,Gran Hotel Bolivar Lima
181,Rawson,AR,55.54,clear sky,-43.3002,-65.1023,Hosteria Sampedro
185,Bemidji,US,55.49,overcast clouds,47.4736,-94.8803,Hampton Inn & Suites Bemidji
188,Richards Bay,ZA,67.24,light rain,-28.783,32.0377,BON Hotel Waterfront Richards Bay
189,Rio Cuarto,AR,56.14,overcast clouds,-33.1307,-64.3499,Grand Hotel Río Cuarto
192,Hasaki,JP,68.4,broken clouds,35.7333,140.8333,Hotel Sunrise Choshi
193,Portland,US,73.38,few clouds,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
194,Souillac,MU,68.52,broken clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
195,Mantua,IT,63.64,overcast clouds,45.1667,10.7833,Hotel la Favorita
197,Matara,LK,77.58,broken clouds,5.9485,80.5353,Amaloh Boutique Resort
199,Guerrero Negro,MX,78.76,clear sky,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
200,Pisco,PE,66.25,clear sky,-13.7,-76.2167,Hotel San Isidro Oficial
201,Padang,ID,73.45,broken clouds,-0.9492,100.3543,Mercure Padang
205,Kembe,CF,68.59,broken clouds,4.6228,21.8865,
206,Aksu,CN,68.83,clear sky,41.1231,80.2644,Pudong Holiday Hotel
210,Kitgum,UG,64.6,clear sky,3.2783,32.8867,Jaflo Gardens Hotel
214,Dingle,PH,76.73,broken clouds,10.9995,122.6711,SEGAYA PROPERTY
216,Manokwari,ID,78.24,overcast clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
220,Anloga,GH,78.53,broken clouds,5.7947,0.8973,Pin Drop Hotel
221,Sterling,US,74.19,scattered clouds,39.0062,-77.4286,Hampton Inn & Suites Washington-Dulles International Airport
223,Morondava,MG,71.76,few clouds,-20.2833,44.2833,La Case Bambou
226,Pozzallo,IT,75.85,overcast clouds,36.7305,14.8499,Mare Nostrum Petit Hôtel
227,Soyo,AO,74.52,scattered clouds,-6.1349,12.3689,Hotel Mpampa
229,Charters Towers,AU,76.23,overcast clouds,-20.1,146.2667,Cattleman's Rest Motor Inn
